regionName,collOrByond-1998,collOrByond-2001,collOrByond-2004,collOrByond-2007,collOrByond-2010,collOrByond,regionRank
DuluthMNWI,80.30766951,83.93612176,87.24809546,87.35515658,89.02410154,85.57422897,2
FargoNDMN,81.03755166,85.12980837,88.27506818,88.09329266,88.30798931,86.16874203,1
GrandForksNDMN,81.51332045,82.31186672,83.8431371,86.04983661,84.43305446,83.63024307,4
LaCrosseOnalaskaWIMN,76.00975608,84.06574253,82.31456569,85.84392932,90.02389487,83.6515777,3
MankatoNorthMankatoMN,78.96627653,82.12342036,84.08404817,82.91089057,87.88768466,83.19446406,6
MinneapolisStPaulBloomingtonMNWI,78.05381827,82.31994985,83.64583301,85.61876937,88.42112364,83.61189883,5
RochesterMN,79.14338145,81.0417533,85.19049585,81.95549398,86.51918354,82.77006162,7
StCloudMN,74.62269203,78.68727578,82.13425534,83.30433827,86.56002169,81.06171662,8
Metro,78.70680825,82.45199234,84.59193735,85.14146342,87.64713171,83.70786661,
NonMetro,77.0388214,81.08359095,82.41125126,84.04477642,85.9824091,82.11216982,
