countyName,metro,pop-1998,pop-2001,pop-2004,pop-2007,pop-2010,collOrByond-1998,collOrByond-2001,collOrByond-2004,collOrByond-2007,collOrByond-2010,collOrByond,rank
Aitkin County,,175,363,376,376,364,82.00951312,76.37848464,81.89915023,82.29072907,83.91085272,81.29774595,60
Anoka County,MinneapolisStPaulBloomingtonMNWI,9162,10185,10276,10786,10064,79.5326354,83.91926229,85.24913342,86.83953495,90.35528545,85.1791703,18
Becker County,,920,936,864,808,660,74.1364318,81.64380197,81.80558526,83.31313993,89.59549802,82.0988914,47
Beltrami County,,1131,1151,1028,826,1004,76.35980432,78.27400921,78.59493097,82.760181,83.08695652,79.8151764,73
Benton County,StCloudMN,1087,1061,984,1078,1083,72.73878177,76.81163699,81.88165959,82.30557738,87.76533019,80.30059718,70
Big Stone County,,97,119,203,164,176,75.85526316,81.67325428,79.08916066,83.66554054,82.94871795,80.64638732,65
Blue Earth County,MankatoNorthMankatoMN,1921,1570,1700,1533,1758,78.9771352,83.2223097,82.66465669,85.56413557,89.6675679,84.01916101,26
Brown County,,1028,805,789,408,577,71.62432861,77.05870562,80.4721036,86.96679665,86.54188949,80.53276479,66
Carlton County,DuluthMNWI,1223,826,994,1128,1101,79.01286539,82.86728666,86.70677046,86.71241201,88.80343767,84.82055444,21
Carver County,MinneapolisStPaulBloomingtonMNWI,1596,1700,2371,2486,2717,80.17691061,83.44607385,85.89817725,87.63388775,91.15177018,85.66136393,14
Cass County,,736,407,569,728,594,73.23717631,81.54522694,77.16044439,81.79089027,84.79143647,79.70503487,74
Chippewa County,,333,461,189,501,172,78.07287595,81.19637794,84.82361266,84.77287582,88.76201923,83.52555232,35
Chisago County,MinneapolisStPaulBloomingtonMNWI,1261,1390,14,1411,1481,74.76557621,79.18690598,,82.66098485,85.37363624,80.49677582,67
Clay County,FargoNDMN,1528,1541,1617,1535,1084,81.03755166,85.12980837,88.27506818,88.09329266,88.30798931,86.16874203,10
Clearwater County,,344,305,14,267,258,67.81935326,75.7797449,,82.7991453,77.73809524,76.03408468,85
Cook County,,125,115,127,132,127,83.22943723,85.03367004,83.43209877,83.82352942,81.06187291,83.31612167,37
Cottonwood County,,387,368,518,486,310,76.91784711,82.61370458,83.82543944,85.52675308,87.26328944,83.22940673,39
Crow Wing County,,1765,1726,1676,1572,1223,78.14574993,83.00243764,84.64501004,82.6938499,89.53477043,83.60436359,34
Dakota County,MinneapolisStPaulBloomingtonMNWI,10586,11618,12611,13065,12815,84.09647029,87.66367217,86.91195868,89.33718784,91.3789362,87.87764504,4
Dodge County,RochesterMN,764,736,648,734,707,79.45115578,79.02461388,84.57347609,80.55152395,84.04205711,81.52856536,56
Douglas County,,861,979,925,846,846,79.8023398,81.84549965,88.01215281,89.82758621,90.25821762,85.94915921,11
Faribault County,,578,486,491,431,135,75.36851785,79.42826812,82.15132336,80.72878093,77.69607843,79.07459374,78
Fillmore County,RochesterMN,697,548,422,474,430,79.56197142,79.68595522,83.70021044,80.19957984,84.30058158,81.4896597,57
Freeborn County,,984,892,902,842,639,77.56533889,81.91875004,83.73943081,81.38086404,88.06681956,82.53424067,42
Goodhue County,,1594,1116,1294,1234,963,77.50616372,83.18450565,81.88843057,86.18115341,87.02135774,83.15632222,40
Grant County,,183,280,203,186,144,78.42576711,82.54830355,85.65464829,85.53100499,90.37037038,84.50601886,24
Hennepin County,MinneapolisStPaulBloomingtonMNWI,22070,22411,23007,23972,23937,86.23790333,88.25485043,89.39376289,90.13028115,92.27509673,89.25837891,1
