countyName,metro,pop-1998,pop-2001,pop-2004,pop-2007,pop-2010,pop-1998-Grade6,pop-1998-Grade9,pop-1998-Grade12,pop-2001-Grade6,pop-2001-Grade9,pop-2001-Grade12,pop-2004-Grade6,pop-2004-Grade9,pop-2004-Grade12,pop-2007-Grade6,pop-2007-Grade9,pop-2007-Grade12,pop-2010-Grade6,pop-2010-Grade9,pop-2010-Grade12,collOrByond-1998-Grade6,collOrByond-1998-Grade9,collOrByond-1998-Grade12,collOrByond-2001-Grade6,collOrByond-2001-Grade9,collOrByond-2001-Grade12,collOrByond-2004-Grade6,collOrByond-2004-Grade9,collOrByond-2004-Grade12,collOrByond-2007-Grade6,collOrByond-2007-Grade9,collOrByond-2007-Grade12,collOrByond-2010-Grade6,collOrByond-2010-Grade9,collOrByond-2010-Grade12
Aitkin County,,175,363,376,376,364,81,72,22,92,152,119,144,122,110,141,133,102,132,131,101,83.95061728,75.71428571,86.36363636,91.01123596,67.7852349,70.33898305,80.71428571,90.90909091,74.07407407,--,86.36363636,78.21782178,--,86.82170543,81
Anoka County,MinneapolisStPaulBloomingtonMNWI,9162,10185,10276,10786,10064,3886,3314,1962,3874,4010,2301,3965,3841,2470,4139,3914,2733,3745,3698,2621,87.24183007,79.37861712,71.97745902,88.59926277,84.43324937,78.72527473,90.34500515,85.18126488,80.22113022,--,89.26348548,84.41558442,--,90.79199781,89.91857309
Becker County,,920,936,864,808,660,329,355,236,365,343,228,291,311,262,300,306,202,218,237,205,77.84615385,74.64788732,69.91525424,84.5505618,80.64516129,79.73568282,87.41258741,81.75895765,76.24521073,--,91.12627986,75.5,--,87.60683761,91.58415842
Beltrami County,,1131,1151,1028,826,1004,500,391,240,423,465,263,222,480,326,189,415,222,340,431,233,85.02024291,78.09278351,65.96638655,83.29355609,79.22077922,72.30769231,81.77570093,77.84810127,76.16099071,--,80,85.52036199,--,84,82.17391304
Benton County,StCloudMN,1087,1061,984,1078,1083,386,408,293,366,405,290,327,406,251,355,387,336,375,386,322,80.21108179,70.19704433,67.80821918,85.51532033,78.94736842,65.97222222,85.71428571,81.93069307,78,--,87.89473684,76.71641791,--,90.625,84.90566038
Big Stone County,,97,119,203,164,176,0,57,40,23,46,50,51,73,79,47,80,37,50,65,61,--,84.21052632,67.5,95.45454545,69.56521739,80,80.39215686,82.19178082,74.6835443,--,86.25,81.08108108,--,89.23076923,76.66666667
Blue Earth County,MankatoNorthMankatoMN,1921,1570,1700,1533,1758,691,751,479,507,591,472,603,626,471,403,611,519,649,632,477,86.25730994,77.71812081,72.95597484,91.09311741,80.44217687,78.13163482,88.18493151,84.16801292,75.64102564,--,88.88888889,82.23938224,--,90.93851133,88.39662447
Brown County,,1028,805,789,408,577,403,333,292,286,279,240,246,305,238,221,96,91,219,193,165,78.19548872,75.98784195,60.68965517,85.56338028,73.64620939,71.9665272,91.32231405,79.20792079,70.88607595,--,86.02150538,87.91208791,--,88.23529412,84.84848485
Carlton County,DuluthMNWI,1223,826,994,1128,1101,418,480,325,259,326,241,324,408,262,402,405,321,388,394,319,87.65133172,77.47368421,71.91358025,90.07936508,84.35582822,74.16666667,87.89808917,88.88888889,83.33333333,--,87.03241895,86.39240506,--,91.21447028,86.39240506
Carver County,MinneapolisStPaulBloomingtonMNWI,1596,1700,2371,2486,2717,651,567,378,553,789,358,863,919,589,949,955,582,1006,1056,655,88.66141732,80.85867621,71.0106383,90.31078611,86.00508906,74.02234637,90.11764706,86.75496689,80.82191781,--,87.18487395,88.08290155,--,91.56279962,90.74074074
