countyName,metro,pop-1998,pop-1999,pop-2000,pop-2001,pop-2002,pop-2003,pop-2004,pop-2005,pop-2006,pop-2007,pop-2008,pop-2009,pop-2010,collOrByond-1998,collOrByond-1999,collOrByond-2000,collOrByond-2001,collOrByond-2002,collOrByond-2003,collOrByond-2004,collOrByond-2005,collOrByond-2006,collOrByond-2007,collOrByond-2008,collOrByond-2009,collOrByond-2010,collOrByond,rank
Aitkin County,,175,175,175,363,363,363,376,376,376,376,376,376,364,82.00951312,82.00951312,82.00951312,76.37848464,76.37848464,76.37848464,81.89915023,81.89915023,81.89915023,82.29072907,82.29072907,82.29072907,83.91085272,81.29774595,60
Anoka County,MinneapolisStPaulBloomingtonMNWI,9162,9162,9162,10185,10185,10185,10276,10276,10276,10786,10786,10786,10064,79.5326354,79.5326354,79.5326354,83.91926229,83.91926229,83.91926229,85.24913342,85.24913342,85.24913342,86.83953495,86.83953495,86.83953495,90.35528545,85.1791703,18
Becker County,,920,920,920,936,936,936,864,864,864,808,808,808,660,74.1364318,74.1364318,74.1364318,81.64380197,81.64380197,81.64380197,81.80558526,81.80558526,81.80558526,83.31313993,83.31313993,83.31313993,89.59549802,82.0988914,47
Beltrami County,,1131,1131,1131,1151,1151,1151,1028,1028,1028,826,826,826,1004,76.35980432,76.35980432,76.35980432,78.27400921,78.27400921,78.27400921,78.59493097,78.59493097,78.59493097,82.760181,82.760181,82.760181,83.08695652,79.8151764,73
Benton County,StCloudMN,1087,1087,1087,1061,1061,1061,984,984,984,1078,1078,1078,1083,72.73878177,72.73878177,72.73878177,76.81163699,76.81163699,76.81163699,81.88165959,81.88165959,81.88165959,82.30557738,82.30557738,82.30557738,87.76533019,80.30059718,70
Big Stone County,,97,97,97,119,119,119,203,203,203,164,164,164,176,75.85526316,75.85526316,75.85526316,81.67325428,81.67325428,81.67325428,79.08916066,79.08916066,79.08916066,83.66554054,83.66554054,83.66554054,82.94871795,80.64638732,65
Blue Earth County,MankatoNorthMankatoMN,1921,1921,1921,1570,1570,1570,1700,1700,1700,1533,1533,1533,1758,78.9771352,78.9771352,78.9771352,83.2223097,83.2223097,83.2223097,82.66465669,82.66465669,82.66465669,85.56413557,85.56413557,85.56413557,89.6675679,84.01916101,26
Brown County,,1028,1028,1028,805,805,805,789,789,789,408,408,408,577,71.62432861,71.62432861,71.62432861,77.05870562,77.05870562,77.05870562,80.4721036,80.4721036,80.4721036,86.96679665,86.96679665,86.96679665,86.54188949,80.53276479,66
Carlton County,DuluthMNWI,1223,1223,1223,826,826,826,994,994,994,1128,1128,1128,1101,79.01286539,79.01286539,79.01286539,82.86728666,82.86728666,82.86728666,86.70677046,86.70677046,86.70677046,86.71241201,86.71241201,86.71241201,88.80343767,84.82055444,21
Carver County,MinneapolisStPaulBloomingtonMNWI,1596,1596,1596,1700,1700,1700,2371,2371,2371,2486,2486,2486,2717,80.17691061,80.17691061,80.17691061,83.44607385,83.44607385,83.44607385,85.89817725,85.89817725,85.89817725,87.63388775,87.63388775,87.63388775,91.15177018,85.66136393,14
Cass County,,736,736,736,407,407,407,569,569,569,728,728,728,594,73.23717631,73.23717631,73.23717631,81.54522694,81.54522694,81.54522694,77.16044439,77.16044439,77.16044439,81.79089027,81.79089027,81.79089027,84.79143647,79.70503487,74
Chippewa County,,333,333,333,461,461,461,189,189,189,501,501,501,172,78.07287595,78.07287595,78.07287595,81.19637794,81.19637794,81.19637794,84.82361266,84.82361266,84.82361266,84.77287582,84.77287582,84.77287582,88.76201923,83.52555232,35
Chisago County,MinneapolisStPaulBloomingtonMNWI,1261,1261,1261,1390,1390,1390,14,14,14,1411,1411,1411,1481,74.76557621,74.76557621,74.76557621,79.18690598,79.18690598,79.18690598,,,,82.66098485,82.66098485,82.66098485,85.37363624,80.49677582,67
Clay County,FargoNDMN,1528,1528,1528,1541,1541,1541,1617,1617,1617,1535,1535,1535,1084,81.03755166,81.03755166,81.03755166,85.12980837,85.12980837,85.12980837,88.27506818,88.27506818,88.27506818,88.09329266,88.09329266,88.09329266,88.30798931,86.16874203,10
Clearwater County,,344,344,344,305,305,305,14,14,14,267,267,267,258,67.81935326,67.81935326,67.81935326,75.7797449,75.7797449,75.7797449,,,,82.7991453,82.7991453,82.7991453,77.73809524,76.03408468,85
Cook County,,125,125,125,115,115,115,127,127,127,132,132,132,127,83.22943723,83.22943723,83.22943723,85.03367004,85.03367004,85.03367004,83.43209877,83.43209877,83.43209877,83.82352942,83.82352942,83.82352942,81.06187291,83.31612167,37
Cottonwood County,,387,387,387,368,368,368,518,518,518,486,486,486,310,76.91784711,76.91784711,76.91784711,82.61370458,82.61370458,82.61370458,83.82543944,83.82543944,83.82543944,85.52675308,85.52675308,85.52675308,87.26328944,83.22940673,39
Crow Wing County,,1765,1765,1765,1726,1726,1726,1676,1676,1676,1572,1572,1572,1223,78.14574993,78.14574993,78.14574993,83.00243764,83.00243764,83.00243764,84.64501004,84.64501004,84.64501004,82.6938499,82.6938499,82.6938499,89.53477043,83.60436359,34
Dakota County,MinneapolisStPaulBloomingtonMNWI,10586,10586,10586,11618,11618,11618,12611,12611,12611,13065,13065,13065,12815,84.09647029,84.09647029,84.09647029,87.66367217,87.66367217,87.66367217,86.91195868,86.91195868,86.91195868,89.33718784,89.33718784,89.33718784,91.3789362,87.87764504,4
Dodge County,RochesterMN,764,764,764,736,736,736,648,648,648,734,734,734,707,79.45115578,79.45115578,79.45115578,79.02461388,79.02461388,79.02461388,84.57347609,84.57347609,84.57347609,80.55152395,80.55152395,80.55152395,84.04205711,81.52856536,56
Douglas County,,861,861,861,979,979,979,925,925,925,846,846,846,846,79.8023398,79.8023398,79.8023398,81.84549965,81.84549965,81.84549965,88.01215281,88.01215281,88.01215281,89.82758621,89.82758621,89.82758621,90.25821762,85.94915921,11
Faribault County,,578,578,578,486,486,486,491,491,491,431,431,431,135,75.36851785,75.36851785,75.36851785,79.42826812,79.42826812,79.42826812,82.15132336,82.15132336,82.15132336,80.72878093,80.72878093,80.72878093,77.69607843,79.07459374,78
Fillmore County,RochesterMN,697,697,697,548,548,548,422,422,422,474,474,474,430,79.56197142,79.56197142,79.56197142,79.68595522,79.68595522,79.68595522,83.70021044,83.70021044,83.70021044,80.19957984,80.19957984,80.19957984,84.30058158,81.4896597,57
Freeborn County,,984,984,984,892,892,892,902,902,902,842,842,842,639,77.56533889,77.56533889,77.56533889,81.91875004,81.91875004,81.91875004,83.73943081,83.73943081,83.73943081,81.38086404,81.38086404,81.38086404,88.06681956,82.53424067,42
Goodhue County,,1594,1594,1594,1116,1116,1116,1294,1294,1294,1234,1234,1234,963,77.50616372,77.50616372,77.50616372,83.18450565,83.18450565,83.18450565,81.88843057,81.88843057,81.88843057,86.18115341,86.18115341,86.18115341,87.02135774,83.15632222,40
Grant County,,183,183,183,280,280,280,203,203,203,186,186,186,144,78.42576711,78.42576711,78.42576711,82.54830355,82.54830355,82.54830355,85.65464829,85.65464829,85.65464829,85.53100499,85.53100499,85.53100499,90.37037038,84.50601886,24
Hennepin County,MinneapolisStPaulBloomingtonMNWI,22070,22070,22070,22411,22411,22411,23007,23007,23007,23972,23972,23972,23937,86.23790333,86.23790333,86.23790333,88.25485043,88.25485043,88.25485043,89.39376289,89.39376289,89.39376289,90.13028115,90.13028115,90.13028115,92.27509673,89.25837891,1
Houston County,LaCrosseOnalaskaWIMN,483,483,483,682,682,682,661,661,661,581,581,581,554,76.00975608,76.00975608,76.00975608,84.06574253,84.06574253,84.06574253,82.31456569,82.31456569,82.31456569,85.84392932,85.84392932,85.84392932,90.02389487,83.6515777,32
Hubbard County,,465,465,465,430,430,430,500,500,500,475,475,475,400,69.53343932,69.53343932,69.53343932,82.43122474,82.43122474,82.43122474,76.58765877,76.58765877,76.58765877,79.60384436,79.60384436,79.60384436,83.57592094,78.34641762,81
Isanti County,MinneapolisStPaulBloomingtonMNWI,1103,1103,1103,961,961,961,1057,1057,1057,999,999,999,851,74.37087648,74.37087648,74.37087648,76.30892659,76.30892659,76.30892659,76.86803232,76.86803232,76.86803232,81.09376421,81.09376421,81.09376421,88.07769837,79.34385959,76
Itasca County,,1196,1196,1196,1195,1195,1195,963,963,963,918,918,918,1183,80.42992807,80.42992807,80.42992807,85.90740214,85.90740214,85.90740214,86.12558025,86.12558025,86.12558025,87.71545668,87.71545668,87.71545668,88.74228401,85.78413023,12
Jackson County,,274,274,274,367,367,367,342,342,342,272,272,272,252,80.18223288,80.18223288,80.18223288,84.57809857,84.57809857,84.57809857,88.15649882,88.15649882,88.15649882,83.57563605,83.57563605,83.57563605,87.16856061,84.73220538,22
Kanabec County,,541,541,541,507,507,507,372,372,372,493,493,493,440,74.00839445,74.00839445,74.00839445,75.20336626,75.20336626,75.20336626,77.1168379,77.1168379,77.1168379,77.3149927,77.3149927,77.3149927,83.35443038,77.39960434,83
Kandiyohi County,,1143,1143,1143,897,897,897,989,989,989,929,929,929,814,85.85667507,85.85667507,85.85667507,85.63700295,85.63700295,85.63700295,87.56325604,87.56325604,87.56325604,88.20078762,88.20078762,88.20078762,87.61019976,86.97358429,6
Kittson County,,142,142,142,226,226,226,167,167,167,163,163,163,151,75.89262187,75.89262187,75.89262187,85.65669764,85.65669764,85.65669764,85.66172826,85.66172826,85.66172826,87.75143679,87.75143679,87.75143679,82.63988523,83.52047396,36
Koochiching County,,462,462,462,411,411,411,341,341,341,227,227,227,252,77.3396797,77.3396797,77.3396797,80.23015873,80.23015873,80.23015873,77.81358924,77.81358924,77.81358924,81.59663866,81.59663866,81.59663866,84.56881034,80.30977533,69
Lac Qui Parle County,,413,413,413,372,372,372,387,387,387,334,334,334,277,80.3402247,80.3402247,80.3402247,82.76176369,82.76176369,82.76176369,82.45114799,82.45114799,82.45114799,87.28632479,87.28632479,87.28632479,85.88527552,83.74494734,30
Lake County,,343,343,343,363,363,363,341,341,341,230,230,230,183,79.32332016,79.32332016,79.32332016,79.83549172,79.83549172,79.83549172,80.65829709,80.65829709,80.65829709,80.85032599,80.85032599,80.85032599,87.3995984,81.61340667,54
Lake of the Woods County,,170,170,170,169,169,169,167,167,167,136,136,136,108,73.48066192,73.48066192,73.48066192,83.51052902,83.51052902,83.51052902,84.90847169,84.90847169,84.90847169,82.22222222,82.22222222,82.22222222,82.92682927,81.40974282,59
Le Sueur County,MinneapolisStPaulBloomingtonMNWI,946,946,946,644,644,644,807,807,807,768,768,768,673,70.39222308,70.39222308,70.39222308,76.29133081,76.29133081,76.29133081,79.94235902,79.94235902,79.94235902,78.82823948,78.82823948,78.82823948,83.52678572,77.79618762,82
Lincoln County,,282,282,282,162,162,162,198,198,198,224,224,224,159,70.39439597,70.39439597,70.39439597,74.64932047,74.64932047,74.64932047,76.11111111,76.11111111,76.11111111,76.07317073,76.07317073,76.07317073,81.11790879,75.66918141,86
Lyon County,,1018,1018,1018,903,903,903,898,898,898,854,854,854,751,74.51006383,74.51006383,74.51006383,80.17571424,80.17571424,80.17571424,84.12193447,84.12193447,84.12193447,85.86761781,85.86761781,85.86761781,85.34049473,82.00316501,48
Mahnomen County,,0,0,0,201,201,201,130,130,130,205,205,205,177,,,,71.19956064,71.19956064,71.19956064,67.67506143,67.67506143,67.67506143,76.5,76.5,76.5,81.82234432,74.2992416,87
Marshall County,,377,377,377,197,197,197,280,280,280,270,270,270,283,82.09767289,82.09767289,82.09767289,87.27257675,87.27257675,87.27257675,88.91079726,88.91079726,88.91079726,85.81535444,85.81535444,85.81535444,88.19444445,86.45816916,8
Martin County,,885,885,885,743,743,743,495,495,495,618,618,618,503,76.26002163,76.26002163,76.26002163,79.27476495,79.27476495,79.27476495,85.33817811,85.33817811,85.33817811,85.01887147,85.01887147,85.01887147,86.27873563,82.43411436,45
McLeod County,,1239,1239,1239,1019,1019,1019,1100,1100,1100,1056,1056,1056,659,74.41212254,74.41212254,74.41212254,83.0220086,83.0220086,83.0220086,83.38175303,83.38175303,83.38175303,86.8130227,86.8130227,86.8130227,91.18796564,83.7633745,29
Meeker County,,1196,1196,1196,1120,1120,1120,1176,1176,1176,1082,1082,1082,1072,77.12171535,77.12171535,77.12171535,79.48749043,79.48749043,79.48749043,79.83871735,79.83871735,79.83871735,83.55013008,83.55013008,83.55013008,87.44768501,81.48914764,58
Mille Lacs County,MinneapolisStPaulBloomingtonMNWI,1133,1133,1133,994,994,994,1204,1204,1204,1132,1132,1132,1112,73.59471175,73.59471175,73.59471175,81.74210808,81.74210808,81.74210808,77.56224284,77.56224284,77.56224284,80.01404495,80.01404495,80.01404495,84.74929578,79.53248068,75
Morrison County,,1156,1156,1156,1129,1129,1129,497,497,497,1024,1024,1024,1031,71.71801367,71.71801367,71.71801367,73.28263058,73.28263058,73.28263058,74.06030512,74.06030512,74.06030512,83.12855931,83.12855931,83.12855931,84.2501616,77.28793406,84
Mower County,,764,764,764,855,855,855,1025,1025,1025,1005,1005,1005,1056,76.4598101,76.4598101,76.4598101,78.81419034,78.81419034,78.81419034,84.9140717,84.9140717,84.9140717,88.84729295,88.84729295,88.84729295,90.04065041,83.8152031,27
Murray County,,352,352,352,319,319,319,294,294,294,161,161,161,124,82.78836132,82.78836132,82.78836132,85.25054275,85.25054275,85.25054275,88.5226263,88.5226263,88.5226263,94.72811671,94.72811671,94.72811671,91.38342278,88.53461397,2
Nicollet County,MankatoNorthMankatoMN,468,468,468,415,415,415,435,435,435,434,434,434,292,78.95541787,78.95541787,78.95541787,81.02453102,81.02453102,81.02453102,85.50343965,85.50343965,85.50343965,80.25764558,80.25764558,80.25764558,86.10780142,82.36976711,46
Nobles County,,660,660,660,663,663,663,687,687,687,650,650,650,608,78.59061758,78.59061758,78.59061758,81.635175,81.635175,81.635175,82.40973693,82.40973693,82.40973693,83.24027819,83.24027819,83.24027819,86.36431007,82.44802355,44
Norman County,,264,264,264,258,258,258,252,252,252,235,235,235,221,75.85794229,75.85794229,75.85794229,80.38127561,80.38127561,80.38127561,84.21274456,84.21274456,84.21274456,85.70906433,85.70906433,85.70906433,83.1981982,81.871845,52
Olmsted County,RochesterMN,3296,3296,3296,3661,3661,3661,2931,2931,2931,3844,3844,3844,3291,84.48983118,84.48983118,84.48983118,87.06115583,87.06115583,87.06115583,89.44200574,89.44200574,89.44200574,87.9844301,87.9844301,87.9844301,90.40211896,87.87590836,5
Otter Tail County,,1216,1216,1216,1111,1111,1111,1401,1401,1401,1488,1488,1488,1049,74.008243,74.008243,74.008243,78.16616069,78.16616069,78.16616069,81.28516806,81.28516806,81.28516806,85.03710663,85.03710663,85.03710663,86.63492064,81.0263198,62
Pennington County,,405,405,405,356,356,356,444,444,444,438,438,438,374,79.19241976,79.19241976,79.19241976,84.41872085,84.41872085,84.41872085,87.60868919,87.60868919,87.60868919,88.26065892,88.26065892,88.26065892,89.33687003,85.76347175,13
Pine County,,817,817,817,806,806,806,745,745,745,571,571,571,719,73.42609101,73.42609101,73.42609101,75.77096619,75.77096619,75.77096619,77.17373615,77.17373615,77.17373615,82.98796791,82.98796791,82.98796791,83.15882732,78.50351772,80
Pipestone County,,363,363,363,332,332,332,314,314,314,321,321,321,224,78.29627859,78.29627859,78.29627859,80.12536542,80.12536542,80.12536542,79.50965332,79.50965332,79.50965332,83.26210827,83.26210827,83.26210827,88.35943468,81.91056806,50
Polk County,GrandForksNDMN,1105,1105,1105,1072,1072,1072,766,766,766,811,811,811,948,81.51332045,81.51332045,81.51332045,82.31186672,82.31186672,82.31186672,83.8431371,83.8431371,83.8431371,86.04983661,86.04983661,86.04983661,84.43305446,83.63024307,33
Pope County,,371,371,371,392,392,392,337,337,337,247,247,247,223,79.43508985,79.43508985,79.43508985,81.88809414,81.88809414,81.88809414,85.83056976,85.83056976,85.83056976,88.55606759,88.55606759,88.55606759,88.63798009,84.86956028,20
Ramsey County,MinneapolisStPaulBloomingtonMNWI,12244,12244,12244,12382,12382,12382,12546,12546,12546,11766,11766,11766,11572,82.45641391,82.45641391,82.45641391,85.39530962,85.39530962,85.39530962,87.36771185,87.36771185,87.36771185,88.31706962,88.31706962,88.31706962,89.67259152,86.6418193,7
Red Lake County,,220,220,220,172,172,172,154,154,154,144,144,144,132,81.89357253,81.89357253,81.89357253,85.3422619,85.3422619,85.3422619,80.98565091,80.98565091,80.98565091,79.8992674,79.8992674,79.8992674,85.13862025,82.6518746,41
Redwood County,,513,513,513,661,661,661,434,434,434,414,414,414,385,74.88351981,74.88351981,74.88351981,79.34202256,79.34202256,79.34202256,83.58458421,83.58458421,83.58458421,84.35621726,84.35621726,84.35621726,85.78276949,81.58982266,55
Renville County,,571,571,571,498,498,498,350,350,350,303,303,303,349,80.73991952,80.73991952,80.73991952,83.77160208,83.77160208,83.77160208,88.41479701,88.41479701,88.41479701,85.16791045,85.16791045,85.16791045,88.12541146,85.2439281,17
Rice County,,1479,1479,1479,1357,1357,1357,1180,1180,1180,1425,1425,1425,1329,79.20523809,79.20523809,79.20523809,83.20865549,83.20865549,83.20865549,84.98027703,84.98027703,84.98027703,87.35515259,87.35515259,87.35515259,88.37349398,84.62456344,23
